date,minimum,maximum,range,mean,std
2022-12-01,1.282989,1.44691,0.163921,1.371819,0.038045
2022-12-02,1.233049,1.66284,0.429785,1.396739,0.105247
2022-12-03,0.765661,0.789623,0.023963,0.776084,0.005841
2022-12-04,0.660767,0.817143,0.156377,0.715618,0.044802
2022-12-05,0.720924,0.868541,0.147616,0.784069,0.046436
2022-12-06,0.761924,0.867875,0.10595,0.802047,0.023986
2022-12-07,0.442562,0.579165,0.136602,0.532974,0.033368
2022-12-08,1.116129,1.50766,0.39153,1.34764,0.110004
2022-12-09,1.067849,1.48222,0.414373,1.280159,0.090655
2022-12-10,1.06751,1.46243,0.394919,1.24661,0.084116
2022-12-12,0.315741,0.766444,0.450704,0.562416,0.118152
2022-12-13,0.340092,1.063979,0.72389,0.748471,0.181357
2022-12-14,0.97455,1.268249,0.293695,1.148159,0.082749
2022-12-15,1.079169,1.512629,0.433465,1.36728,0.117371
2022-12-16,0.96783,1.397709,0.429881,1.24231,0.120452
2022-12-17,1.05699,1.442319,0.385329,1.208969,0.085419
2022-12-18,0.692245,0.977346,0.2851,0.821007,0.087258
2022-12-19,0.792388,1.166389,0.374002,0.951276,0.120089
2022-12-20,1.07349,1.46638,0.392886,1.259999,0.115446
2022-12-21,0.964792,1.21869,0.253895,1.13308,0.07426
2022-12-22,0.833094,1.07814,0.24505,0.968527,0.069782
2022-12-23,0.85374,1.236639,0.382901,1.04363,0.111028
2022-12-24,1.064249,1.782549,0.7183,1.36763,0.222668
2022-12-25,0.701125,0.838837,0.137712,0.763413,0.0445
2022-12-26,0.751375,0.849371,0.097995,0.808794,0.026142
2022-12-27,0.832486,0.947809,0.115323,0.884216,0.0235
2022-12-28,0.702766,1.086099,0.383329,0.868135,0.117026
2022-12-29,0.772419,1.254899,0.482477,0.967957,0.153744
2022-12-30,1.155269,1.675699,0.520429,1.4169,0.152127
2022-12-31,1.03486,1.249349,0.21449,1.18839,0.062146
2023-01-01,0.943022,1.22782,0.284794,1.086259,0.085153
2023-01-02,1.01625,1.64433,0.628082,1.34814,0.174707
2023-01-03,0.864682,1.115319,0.250638,1.013579,0.062999
2023-01-04,0.894738,1.148519,0.253776,1.05989,0.072851
2023-01-05,1.00239,1.325649,0.323258,1.14326,0.084063
2023-01-06,0.924184,1.106799,0.182614,1.022469,0.037491
2023-01-07,0.622191,0.996065,0.373874,0.7774,0.116158
2023-01-08,0.723308,1.333699,0.610387,0.972772,0.195216
2023-01-09,1.0504,1.07834,0.027945,1.06339,0.006843
2023-01-10,0.61105,0.798174,0.187123,0.688812,0.06099
2023-01-11,0.984474,1.58422,0.599744,1.254619,0.181137
2023-01-12,1.243589,1.79856,0.554967,1.416039,0.138089
2023-01-13,1.081949,1.403079,0.321119,1.175699,0.080871
2023-01-14,0.680396,0.808485,0.128088,0.727317,0.042147
2023-01-15,0.95333,1.346259,0.392933,1.13203,0.118291
2023-01-16,0.948697,1.60528,0.656584,1.310039,0.185781
2023-01-17,1.447729,2.045569,0.597836,1.769459,0.169485
2023-01-18,1.59721,1.98227,0.38506,1.72888,0.094214
2023-01-19,0.986307,1.35782,0.371513,1.212739,0.102778
2023-01-20,1.14303,1.319039,0.176008,1.2561,0.05144
2023-01-21,1.19438,1.43866,0.244276,1.349359,0.068619
2023-01-22,1.830489,2.428159,0.597676,2.113199,0.129079
2023-01-23,1.985759,2.871779,0.886021,2.261399,0.220853
2023-01-24,1.453819,2.195879,0.742061,1.93481,0.21128
2023-01-25,1.73775,2.20053,0.462783,1.927549,0.100665
2023-01-26,1.21649,1.514989,0.298501,1.41551,0.079882
2023-01-27,1.593019,2.3255,0.732469,1.937299,0.156819
2023-01-28,1.73169,2.41615,0.684454,2.035619,0.146672
2023-01-29,1.817,2.27021,0.4532,1.9838,0.099254
2023-01-30,1.89565,2.2525,0.356842,2.056339,0.077543
2023-01-31,1.94667,2.361439,0.414765,2.106549,0.089845
2023-02-01,1.15681,1.51326,0.356451,1.35625,0.082292
2023-02-02,1.49432,1.725209,0.230892,1.58569,0.048007
2023-02-03,2.018919,2.54852,0.529601,2.187249,0.12368
2023-02-04,2.072,2.76569,0.693683,2.36698,0.145517
2023-02-05,2.18735,2.61117,0.423828,2.37347,0.08795
2023-02-06,2.478879,3.047689,0.568813,2.689239,0.123715
2023-02-07,2.188689,2.738409,0.549718,2.42651,0.118363
2023-02-08,1.48133,1.648409,0.16708,1.55936,0.049623
2023-02-09,2.296509,2.329509,0.033001,2.30952,0.008799
2023-02-10,2.60258,2.778429,0.175848,2.703059,0.049213
2023-02-11,2.371989,2.6556,0.283614,2.48516,0.0709
2023-02-12,1.86108,1.939129,0.078055,1.903859,0.019439
2023-02-13,2.160429,2.271369,0.110941,2.193109,0.01922
2023-02-14,1.793419,2.09765,0.304233,1.945649,0.091128
2023-02-15,2.35484,2.58611,0.231276,2.49847,0.057897
2023-02-16,2.995579,3.36204,0.366459,3.14326,0.078689
2023-02-17,3.20775,3.561559,0.353805,3.3122,0.079293
2023-02-18,2.54041,3.09926,0.558854,2.85921,0.134657
2023-02-19,2.122889,2.845479,0.722594,2.486419,0.157576
2023-02-20,1.95358,2.165509,0.211925,2.055299,0.046041
2023-02-21,1.61696,1.96377,0.34681,1.82567,0.084934
2023-02-22,1.537709,1.952059,0.414346,1.760609,0.093585
2023-02-23,2.262079,2.878509,0.616437,2.56275,0.132134
2023-02-24,1.58438,1.825279,0.240906,1.69657,0.051459
2023-02-25,1.473799,1.64704,0.173236,1.589939,0.046652
2023-02-26,1.39505,1.678719,0.283672,1.57437,0.080378
2023-02-27,1.504289,1.77827,0.273983,1.668699,0.077249
